"","State","Year","enacted","incentives","tax_incentives","grant_incentives","other_incentives","regulations"
"577","NY",2017,0,1,1,0,0,0
"578","NY",2018,0,1,1,0,0,0
"579","NY",2019,0,1,1,0,0,0
"580","KS",2008,1,2,2,0,0,1
"581","KS",2009,0,2,2,0,0,1
"582","KS",2010,0,2,2,0,0,1
"583","NE",2008,2,1,1,0,0,1
"584","NE",2009,0,1,1,0,0,1
"585","NE",2010,1,1,1,0,0,2
"586","NE",2011,1,2,2,0,0,2
"587","NE",2012,0,2,2,0,0,2
"588","ND",2009,1,1,0,1,0,1
"589","ND",2010,0,1,0,1,0,1
"590","ND",2011,0,1,0,1,0,1
"591","ND",2012,0,1,0,1,0,1
"592","PA",2013,1,2,0,2,0,0
"593","PA",2014,0,1,0,1,0,0
"594","PA",2015,0,1,0,1,0,0
"595","PA",2016,0,1,0,1,0,0
"596","AK",2007,1,0,0,0,0,1
"597","AK",2008,0,0,0,0,0,1
"598","AK",2009,0,0,0,0,0,1
"599","AK",2010,0,0,0,0,0,1
"600","AK",2011,0,0,0,0,0,1
"601","MD",2011,0,1,1,0,0,0
"602","MD",2012,0,1,1,0,0,0
"603","MD",2013,0,1,1,0,0,0
"604","HI",2017,0,1,1,0,0,1
"605","HI",2018,0,1,1,0,0,1
"606","HI",2019,0,1,1,0,0,1
"607","IA",2000,1,0,0,0,0,1
"608","IA",2001,0,0,0,0,0,1
"609","IA",2002,0,0,0,0,0,1
"610","TN",2013,0,0,0,0,0,2
"611","AZ",2008,1,1,0,1,0,0
"612","AZ",2009,0,1,0,1,0,0
"613","OK",2018,0,0,0,0,0,1
"614","MO",2008,1,1,1,0,0,0
"615","MO",2009,0,1,1,0,0,0
"616","MO",2010,0,1,1,0,0,0
"617","MO",2011,0,1,1,0,0,0
"618","MO",2012,0,1,1,0,0,0
"619","MO",2016,0,1,1,0,0,1
"620","MO",2017,0,1,1,0,0,1
"621","MO",2018,0,1,1,0,0,1
"622","LA",2010,2,4,1,1,2,2
"623","LA",2011,0,4,1,1,2,2
"624","LA",2012,0,4,1,1,2,2
"625","LA",2013,0,3,1,1,1,1
"626","LA",2014,0,3,1,1,1,0
"627","MA",2013,0,1,0,0,1,0
"628","MA",2014,0,1,0,0,1,0
"629","MA",2015,0,1,0,0,1,0
"630","MA",2016,0,1,0,0,1,0
"631","MA",2017,0,1,0,0,1,0
"632","WI",2013,0,1,1,0,0,1
"633","PA",2011,0,2,1,1,0,1
"634","PA",2012,0,2,1,1,0,1
"635","MI",2006,1,1,0,1,0,0
"636","NM",2010,0,0,0,0,0,2
"637","NM",2011,0,0,0,0,0,2
"638","NM",2012,0,0,0,0,0,2
"639","NM",2013,0,0,0,0,0,2
"640","NM",2014,0,0,0,0,0,1
"641","WA",2016,1,1,0,0,1,2
"642","WA",2017,0,1,0,0,1,1
"643","WA",2018,0,1,0,0,1,1
"644","WV",2010,1,0,0,0,0,1
"645","WV",2011,0,0,0,0,0,1
"646","WV",2012,0,0,0,0,0,1
"647","KS",2007,2,2,2,0,0,0
"648","ND",2013,0,1,0,1,0,0
"649","VT",2009,1,0,0,0,0,1
"650","VT",2010,0,0,0,0,0,1
"651","VT",2011,1,0,0,0,0,2
"652","VT",2012,1,0,0,0,0,3
"653","TX",2007,0,1,0,1,0,0
"654","TX",2013,0,1,0,0,1,1
"655","TX",2014,0,1,0,0,1,1
"656","TX",2015,0,0,0,0,0,1
"657","TX",2016,0,0,0,0,0,1
"658","TX",2017,0,0,0,0,0,1
"659","TX",2018,0,0,0,0,0,1
