"","state","year","e85","total","ratio_e85"
"214","Colorado","2011",83,213,38.9671361502347
"215","Connecticut","2011",0,75,0
"216","Delaware","2011",1,6,16.6666666666667
"217","District of Columbia","2011",3,58,5.17241379310345
"218","Florida","2011",62,520,11.9230769230769
"219","Georgia","2011",51,194,26.2886597938144
"220","Hawaii","2011",1,73,1.36986301369863
"221","Idaho","2011",9,74,12.1621621621622
"222","Illinois","2011",218,491,44.3991853360489
"223","Indiana","2011",153,227,67.4008810572687
"224","Iowa","2011",167,215,77.6744186046512
"225","Kansas","2011",40,101,39.6039603960396
"226","Kentucky","2011",29,75,38.6666666666667
"227","Louisiana","2011",2,47,4.25531914893617
"228","Maine","2011",0,11,0
"229","Maryland","2011",23,220,10.4545454545455
"230","Massachusetts","2011",4,113,3.53982300884956
"231","Michigan","2011",122,578,21.1072664359862
"232","Minnesota","2011",364,476,76.4705882352941
"233","Mississippi","2011",2,51,3.92156862745098
"234","Missouri","2011",106,224,47.3214285714286
"235","Montana","2011",1,55,1.81818181818182
"236","Nebraska","2011",68,92,73.9130434782609
"237","Nevada","2011",23,109,21.1009174311927
"238","New Hampshire","2011",0,36,0
"239","New Jersey","2011",4,110,3.63636363636364
"240","New Mexico","2011",9,81,11.1111111111111
"241","New York","2011",82,480,17.0833333333333
"242","North Carolina","2011",29,409,7.09046454767726
"243","North Dakota","2011",74,97,76.2886597938144
"244","Ohio","2011",84,223,37.6681614349776
"245","Oklahoma","2011",15,140,10.7142857142857
"246","Oregon","2011",9,392,2.29591836734694
"247","Pennsylvania","2011",35,176,19.8863636363636
"248","Rhode Island","2011",0,18,0
"249","South Carolina","2011",100,246,40.650406504065
"250","South Dakota","2011",102,120,85
"251","Tennessee","2011",44,294,14.9659863945578
"252","Texas","2011",58,992,5.84677419354839
"253","Utah","2011",4,124,3.2258064516129
"254","Vermont","2011",0,18,0
"255","Virginia","2011",15,185,8.10810810810811
"256","Washington","2011",19,571,3.32749562171629
"257","West Virginia","2011",3,20,15
"258","Wisconsin","2011",140,267,52.4344569288389
