"","state","year","e85","total_stations"
"355","Tennessee","2013",52,1073
"356","Texas","2013",81,2231
"357","Utah","2013",3,200
"358","Vermont","2013",19,480
"359","Virginia","2013",1,60
"360","Washington","2013",24,1476
"361","West Virginia","2013",115,430
"362","Wisconsin","2013",4,63
"363","Wyoming","2013",9,52
"364","Total","2013",2616,27314
"365","Alabama","2014",32,259
"366","Alaska","2014",0,8
"367","Arizona","2014",30,999
"368","Arkansas","2014",43,155
"369","California","2014",94,7758
"370","Colorado","2014",86,647
"371","Connecticut","2014",3,399
"372","Delaware","2014",1,37
"373","District of Columbia","2014",3,146
"374","Florida","2014",62,1446
"375","Georgia","2014",52,836
"376","Hawaii","2014",3,449
"377","Idaho","2014",8,78
"378","Illinois","2014",234,1200
"379","Indiana","2014",188,629
"380","Iowa","2014",210,353
"381","Kansas","2014",25,263
"382","Kentucky","2014",62,225
"383","Louisiana","2014",8,136
"384","Maine","2014",0,61
"385","Maryland","2014",34,723
"386","Massachusetts","2014",9,788
"387","Michigan","2014",220,1050
"388","Minnesota","2014",278,780
"389","Mississippi","2014",3,161
"390","Missouri","2014",101,381
"391","Montana","2014",2,70
"392","Nebraska","2014",80,160
"393","Nevada","2014",21,330
"394","New Hampshire","2014",1,88
"395","New Jersey","2014",5,306
"396","New Mexico","2014",14,140
"397","New York","2014",83,1336
"398","North Carolina","2014",23,967
"399","North Dakota","2014",77,104
"400","Ohio","2014",128,501
"401","Oklahoma","2014",25,321
"402","Oregon","2014",7,1071
"403","Pennsylvania","2014",33,542
"404","Rhode Island","2014",0,166
"405","South Carolina","2014",71,416
"406","South Dakota","2014",82,134
"407","Tennessee","2014",66,1138
"408","Texas","2014",136,2541
"409","Utah","2014",3,270
"410","Vermont","2014",1,129
"411","Virginia","2014",17,719
"412","Washington","2014",21,1632
"413","West Virginia","2014",9,127
"414","Wisconsin","2014",136,561
"415","Wyoming","2014",10,69
"416","Total","2014",2840,33805
"417","Alabama","2015",31,375
"418","Alaska","2015",0,11
"419","Arizona","2015",30,1059
"420","Arkansas","2015",47,182
"421","California","2015",107,11242
"422","Colorado","2015",89,921
"423","Connecticut","2015",4,542
"424","Delaware","2015",1,67
"425","District of Columbia","2015",3,246
"426","Florida","2015",74,2006
"427","Georgia","2015",58,1372
"428","Hawaii","2015",3,511
"429","Idaho","2015",7,131
"430","Illinois","2015",247,1357
"431","Indiana","2015",194,720
"432","Iowa","2015",214,423
"433","Kansas","2015",26,640
"434","Kentucky","2015",68,224
"435","Louisiana","2015",9,162
"436","Maine","2015",0,108
"437","Maryland","2015",34,940
"438","Massachusetts","2015",6,1036
"439","Michigan","2015",241,1178
"440","Minnesota","2015",289,874
"441","Mississippi","2015",3,166
"442","Missouri","2015",99,720
"443","Montana","2015",2,113
"444","Nebraska","2015",82,180
"445","Nevada","2015",20,376
"446","New Hampshire","2015",0,156
"447","New Jersey","2015",5,465
"448","New Mexico","2015",10,187
"449","New York","2015",85,1570
"450","North Carolina","2015",26,1113
"451","North Dakota","2015",53,86
"452","Ohio","2015",136,674
"453","Oklahoma","2015",31,362
"454","Oregon","2015",8,1205
"455","Pennsylvania","2015",37,699
"456","Rhode Island","2015",0,197
"457","South Carolina","2015",68,493
"458","South Dakota","2015",80,129
"459","Tennessee","2015",69,1086
"460","Texas","2015",197,2864
"461","Utah","2015",3,417
"462","Vermont","2015",1,285
"463","Virginia","2015",18,892
"464","Washington","2015",21,1756
"465","West Virginia","2015",9,98
"466","Wisconsin","2015",156,670
"467","Wyoming","2015",11,98
"468","Total","2015",3012,43384
"469","Alabama","2016",32,390
"470","Alaska","2016",0,13
"471","Arizona","2016",25,1254
"472","Arkansas","2016",44,203
"473","California","2016",119,14969
"474","Colorado","2016",88,1201
"475","Connecticut","2016",4,774
"476","Delaware","2016",1,80
"477","District of Columbia","2016",4,258
"478","Florida","2016",74,2429
"479","Georgia","2016",56,1736
"480","Hawaii","2016",2,587
"481","Idaho","2016",6,193
"482","Illinois","2016",263,1593
"483","Indiana","2016",200,821
"484","Iowa","2016",210,480
"485","Kansas","2016",21,813
"486","Kentucky","2016",72,294
"487","Louisiana","2016",11,242
"488","Maine","2016",0,204
"489","Maryland","2016",34,1227
"490","Massachusetts","2016",7,1331
"491","Michigan","2016",254,1535
"492","Minnesota","2016",314,1083
"493","Mississippi","2016",3,175
"494","Missouri","2016",92,1349
"495","Montana","2016",2,141
"496","Nebraska","2016",80,237
"497","Nevada","2016",20,557
"498","New Hampshire","2016",0,212
"499","New Jersey","2016",5,565
"500","New Mexico","2016",10,220
"501","New York","2016",79,1936
"502","North Carolina","2016",58,1366
"503","North Dakota","2016",43,80
"504","Ohio","2016",151,856
"505","Oklahoma","2016",29,407
"506","Oregon","2016",10,1416
"507","Pennsylvania","2016",41,897
"508","Rhode Island","2016",0,222
"509","South Carolina","2016",67,535
"510","South Dakota","2016",75,145
"511","Tennessee","2016",79,1216
"512","Texas","2016",193,3290
"513","Utah","2016",1,446
"514","Vermont","2016",1,398
"515","Virginia","2016",22,1139
"516","Washington","2016",21,2013
"517","West Virginia","2016",11,126
"518","Wisconsin","2016",151,734
"519","Wyoming","2016",10,129
"520","Total","2016",3095,54517
"521","Alabama","2017",39,489
"522","Alaska","2017",0,19
"523","Arizona","2017",21,1290
"524","Arkansas","2017",43,217
"525","California","2017",147,17426
"526","Colorado","2017",91,1590
"527","Connecticut","2017",4,838
"528","Delaware","2017",1,115
"529","District of Columbia","2017",3,272
"530","Florida","2017",82,2802
"531","Georgia","2017",53,2120
"532","Hawaii","2017",2,646
"533","Idaho","2017",5,221
"534","Illinois","2017",270,1691
"535","Indiana","2017",204,833
"536","Iowa","2017",247,556
"537","Kansas","2017",20,827
"538","Kentucky","2017",73,321
"539","Louisiana","2017",12,315
"540","Maine","2017",0,240
"541","Maryland","2017",36,1442
"542","Massachusetts","2017",7,1574
"543","Michigan","2017",254,1601
"544","Minnesota","2017",372,1212
"545","Mississippi","2017",5,225
"546","Missouri","2017",94,1759
"547","Montana","2017",2,142
"548","Nebraska","2017",95,295
"549","Nevada","2017",19,675
"550","New Hampshire","2017",0,232
"551","New Jersey","2017",4,629
"552","New Mexico","2017",11,257
"553","New York","2017",72,2228
"554","North Carolina","2017",79,1704
"555","North Dakota","2017",41,83
"556","Ohio","2017",164,1113
"557","Oklahoma","2017",32,431
"558","Oregon","2017",10,1518
"559","Pennsylvania","2017",75,1044
"560","Rhode Island","2017",0,232
"561","South Carolina","2017",64,642
"562","South Dakota","2017",77,152
"563","Tennessee","2017",81,1271
"564","Texas","2017",215,3573
"565","Utah","2017",1,521
"566","Vermont","2017",0,442
"567","Virginia","2017",31,1261
"568","Washington","2017",19,2320
"569","West Virginia","2017",33,247
"570","Wisconsin","2017",157,790
"571","Wyoming","2017",12,149
"572","Total","2017",3379,62592
"573","Alabama","2018",40,558
"574","Alaska","2018",0,18
"575","Arizona","2018",22,1447
"576","Arkansas","2018",43,224
"577","California","2018",161,22010
"578","Colorado","2018",81,1986
"579","Connecticut","2018",4,889
"580","Delaware","2018",1,145
"581","District of Columbia","2018",3,346
"582","Florida","2018",88,3330
"583","Georgia","2018",54,2406
"584","Hawaii","2018",2,554
"585","Idaho","2018",6,223
"586","Illinois","2018",280,1853
"587","Indiana","2018",211,801
"588","Iowa","2018",267,616
"589","Kansas","2018",26,872
"590","Kentucky","2018",74,342
"591","Louisiana","2018",12,320
"592","Maine","2018",1,282
"593","Maryland","2018",35,1850
"594","Massachusetts","2018",7,1860
"595","Michigan","2018",253,1774
"596","Minnesota","2018",412,1292
"597","Mississippi","2018",5,223
"598","Missouri","2018",98,1872
"599","Montana","2018",2,151
"600","Nebraska","2018",88,330
"601","Nevada","2018",14,712
"602","New Hampshire","2018",0,265
"603","New Jersey","2018",6,801
"604","New Mexico","2018",12,273
"605","New York","2018",72,2807
"606","North Carolina","2018",86,1818
"607","North Dakota","2018",44,100
"608","Ohio","2018",165,1291
"609","Oklahoma","2018",52,481
"610","Oregon","2018",10,1698
"611","Pennsylvania","2018",123,1297
"612","Rhode Island","2018",0,263
"613","South Carolina","2018",66,706
"614","South Dakota","2018",77,181
"615","Tennessee","2018",78,1343
"616","Texas","2018",220,3968
"617","Utah","2018",2,662
"618","Vermont","2018",0,542
"619","Virginia","2018",47,1613
"620","Washington","2018",20,2741
"621","West Virginia","2018",33,260
"622","Wisconsin","2018",212,900
"623","Wyoming","2018",12,179
"624","Total","2018",3627,73475
"625","Alabama","2019",34,651
"626","Alaska","2019",0,40
"627","Arizona","2019",22,1690
"628","Arkansas","2019",47,394
"629","California","2019",195,28038
"630","Colorado","2019",84,2697
"631","Connecticut","2019",3,1093
"632","Delaware","2019",1,186
"633","District of Columbia","2019",3,566
"634","Florida","2019",88,4858
"635","Georgia","2019",52,3140
"636","Hawaii","2019",2,680
"637","Idaho","2019",4,261
"638","Illinois","2019",279,2306
"639","Indiana","2019",221,938
"640","Iowa","2019",300,704
"641","Kansas","2019",38,1002
"642","Kentucky","2019",71,433
"643","Louisiana","2019",14,392
"644","Maine","2019",1,452
"645","Maryland","2019",39,2204
"646","Massachusetts","2019",6,2521
"647","Michigan","2019",241,1802
"648","Minnesota","2019",430,1570
"649","Mississippi","2019",6,391
"650","Missouri","2019",111,2102
"651","Montana","2019",1,183
"652","Nebraska","2019",97,375
"653","Nevada","2019",12,976
"654","New Hampshire","2019",0,277
"655","New Jersey","2019",6,1351
"656","New Mexico","2019",14,336
"657","New York","2019",71,4765
"658","North Carolina","2019",89,2223
"659","North Dakota","2019",41,114
"660","Ohio","2019",180,1691
"661","Oklahoma","2019",56,617
"662","Oregon","2019",9,2024
"663","Pennsylvania","2019",125,1803
"664","Rhode Island","2019",0,420
"665","South Carolina","2019",53,803
"666","South Dakota","2019",83,233
"667","Tennessee","2019",73,1381
"668","Texas","2019",232,4847
"669","Utah","2019",2,1044
"670","Vermont","2019",0,670
"671","Virginia","2019",58,2238
"672","Washington","2019",20,3371
"673","West Virginia","2019",34,295
"674","Wisconsin","2019",227,1059
"675","Wyoming","2019",11,203
"676","Total","2019",3786,94410
"677","Alabama","2020",29,736
"678","Alaska","2020",0,49
"679","Arizona","2020",20,1989
"680","Arkansas","2020",50,455
"681","California","2020",198,35527
"682","Colorado","2020",88,3417
"683","Connecticut","2020",3,1283
"684","Delaware","2020",1,220
"685","District of Columbia","2020",3,713
"686","Florida","2020",94,5794
"687","Georgia","2020",66,3861
"688","Hawaii","2020",2,773
"689","Idaho","2020",5,324
"690","Illinois","2020",284,2785
"691","Indiana","2020",234,1112
"692","Iowa","2020",315,855
"693","Kansas","2020",56,1066
"694","Kentucky","2020",72,494
"695","Louisiana","2020",18,453
"696","Maine","2020",0,531
"697","Maryland","2020",43,2860
"698","Massachusetts","2020",7,3468
"699","Michigan","2020",236,1961
"700","Minnesota","2020",422,1852
"701","Mississippi","2020",5,437
"702","Missouri","2020",115,2269
"703","Montana","2020",1,230
"704","Nebraska","2020",88,419
"705","Nevada","2020",12,1206
"706","New Hampshire","2020",0,319
"707","New Jersey","2020",6,1702
"708","New Mexico","2020",14,457
"709","New York","2020",75,6301
"710","North Carolina","2020",96,2597
"711","North Dakota","2020",38,165
"712","Ohio","2020",193,2178
"713","Oklahoma","2020",69,1004
"714","Oregon","2020",4,2227
"715","Pennsylvania","2020",143,2378
"716","Rhode Island","2020",0,562
"717","South Carolina","2020",49,878
"718","South Dakota","2020",80,236
"719","Tennessee","2020",89,1525
"720","Texas","2020",241,5624
"721","Utah","2020",2,1710
"722","Vermont","2020",0,803
"723","Virginia","2020",61,2683
"724","Washington","2020",16,3932
"725","West Virginia","2020",37,311
